parameter,display_name,unit,value,lcoe_gbp_per_mwh
transmission_efficiency,RF transmission efficiency,fraction,0.9631,86.34842326359717
transmission_efficiency,RF transmission efficiency,fraction,0.96455,86.32064212366967
transmission_efficiency,RF transmission efficiency,fraction,0.966,86.29294438467986
transmission_efficiency,RF transmission efficiency,fraction,0.96745,86.26532967162737
transmission_efficiency,RF transmission efficiency,fraction,0.9689,86.23779761175668
transmission_efficiency,RF transmission efficiency,fraction,0.97035,86.21034783454031
transmission_efficiency,RF transmission efficiency,fraction,0.9718,86.18297997166223
transmission_efficiency,RF transmission efficiency,fraction,0.97325,86.15569365700131
transmission_efficiency,RF transmission efficiency,fraction,0.9747,86.12848852661503
transmission_efficiency,RF transmission efficiency,fraction,0.97615,86.10136421872336
transmission_efficiency,RF transmission efficiency,fraction,0.9776,86.0743203736927
transmission_efficiency,RF transmission efficiency,fraction,0.97905,86.04735663401985
transmission_efficiency,RF transmission efficiency,fraction,0.9804999999999999,86.02047264431647
transmission_efficiency,RF transmission efficiency,fraction,0.98195,85.99366805129328
transmission_efficiency,RF transmission efficiency,fraction,0.9834,85.96694250374475
transmission_efficiency,RF transmission efficiency,fraction,0.98485,85.94029565253365
transmission_efficiency,RF transmission efficiency,fraction,0.9863,85.9137271505758
transmission_efficiency,RF transmission efficiency,fraction,0.98775,85.88723665282515
transmission_efficiency,RF transmission efficiency,fraction,0.9892,85.8608238162588
transmission_efficiency,RF transmission efficiency,fraction,0.99065,85.83448829986207
transmission_efficiency,RF transmission efficiency,fraction,0.9921,85.80822976461398
transmission_efficiency,RF transmission efficiency,fraction,0.9935499999999999,85.78204787347258
transmission_efficiency,RF transmission efficiency,fraction,0.995,85.75594229136063
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4,97.38068187983609
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4045,97.05236027240635
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.40900000000000003,96.73126334582466
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.41350000000000003,96.41715522780221
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.41800000000000004,96.10981020323
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.42250000000000004,95.80901217326407
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.42700000000000005,95.51455414861357
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4315,95.22623777453516
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.436,94.94387288524278
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4405,94.66727708562945
